ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2023-11-24T00:00:00Z Rel,61.491993758568036,864.2222900390625,313.57299302772236,190.0550684245426,656.2127075195312,63.081849871763474,168.9542523047658,2469.0244140625,36.40290412355347,311.87164452853017,412.892821266739,127.41612966970159,26.039024353027344,124.98951340225015,87.7415771484375,244.04410719200465,26.612876892089844,204.66044846022564,110.40340276320781,"",352.70666093473125,59.586519909876394,379.5732749084187,"",450.14171584800425,1861.71875,78.59316207196974,179.0185955930638,262.96934402942685,39.51944037680269,51.00386012715319,350.0762553621217,340.5711888850175,573.7477895404668,237.79095458984375,56.45172858949061,244.6158447265625,83.8659813661487,430.4299051888789,142.53118889146373,143.48414611816406,654.9151764304554,439.82080554679595,494.91348813410167
2023-11-25T00:00:00Z Rel,54.49029639723126,776.1604614257812,294.222882012968,124.88834026142408,493.240478515625,42.42426736551308,138.0136054368371,2044.53515625,20.72446447930953,301.82183779168946,413.46232742380215,119.5124532629826,17.375221252441406,90.65522980592878,87.6092300415039,205.00559852564766,18.40357780456543,185.39603045128032,101.69191836401271,"",349.6028967885623,53.04275012731549,316.96725065619876,"",396.9552683876179,1861.71875,71.19825697002592,178.0303176784515,263.4769617606978,36.51582998893875,34.65010612048485,271.02008695796656,343.1624450559967,541.9484641357695,250.8155975341797,36.451626268205864,177.29470825195312,62.50401483672637,413.5986043615693,132.34537350716406,134.6939239501953,619.3991528224952,392.6793297061214,445.0656927668616
2023-11-26T00:00:00Z Rel,53.76966054322529,783.22412109375,284.6766438478894,122.89168186461487,571.6724853515625,42.47120650567392,146.2830545117239,2084.73046875,19.179397814472534,291.7175107224784,436.31796109941223,119.92685158394004,17.56124496459961,90.12186188318101,88.11734008789062,185.58649640913353,24.676862716674805,180.55871011451447,98.4182066309893,"",354.72074757364055,52.771118577188915,319.4372864629604,"",354.3115165650404,1861.71875,72.54916763888451,184.68472624566803,257.89294494911485,31.247711118879156,37.071579586267475,264.7785449858066,332.6332249772107,538.9413341606988,218.70404052734375,36.899129087615904,221.4648895263672,69.46198246766019,422.53795135462764,131.73685137695725,134.74356079101562,625.786318610862,417.91166969334625,391.11264338546334
2023-11-27T00:00:00Z Rel,52.8766860330105,857.9306640625,295.97632443463357,193.37897902939014,674.1591186523438,62.55998700963123,173.87625426716298,2497.03515625,33.2142955687642,288.37154441515634,437.29999483920966,125.52456097567529,24.99270248413086,132.74842311267503,83.27970123291016,250.54449849985252,26.275436401367188,200.81769609910467,109.51203721664568,"",380.99382394225546,59.666044036591515,370.51680274928054,"",473.53871953717004,1861.71875,77.9116043361469,189.39621479034412,279.511855408351,41.878073533199434,49.40883125327246,343.034065015758,342.27256513630886,586.2219743011613,225.6140899658203,59.640149657814554,181.67611694335938,84.07415338445587,437.49472150308014,141.4799659548866,145.64524841308594,671.1844342373043,462.9753588782416,412.72897662268724
2023-11-28T00:00:00Z Rel,57.337454175949055,839.8349609375,305.9818488089243,190.5700196579649,721.432373046875,67.6584978931701,182.7928442467584,2412.888671875,34.78124642938372,319.069290340565,437.994428936288,141.4998242143348,26.602622985839844,132.45830278723324,89.2945785522461,248.88988160115696,27.693496704101562,206.4383291182693,115.40328308697103,"",383.4882595002213,60.80240068660838,392.06413692509716,"",490.39194308775427,1861.71875,78.96834697749887,188.1521353227121,287.2183465844615,41.797946630054085,55.31482340115081,343.85503606019194,336.11953329121616,593.2799975917958,229.58616638183594,58.578703908346256,167.21812438964844,89.48222187889947,432.14555278283586,137.88145300900507,145.02108764648438,686.5730367805346,481.70859853108766,432.24708825446953
2023-11-29T00:00:00Z Rel,53.821932601156014,859.2426147460938,313.4551018075583,193.01220360464535,727.2288818359375,67.031347723537,182.21109835704127,2418.048583984375,41.19802675672152,324.70830774272,460.8041437392764,144.173541022495,26.267545700073242,132.56408452943518,86.90904235839844,246.16829182801405,26.853092193603516,211.09060021011913,116.10257357350095,"",385.9355449054862,60.0208270689293,394.31092622862934,"",491.6624083639073,1861.71875,79.577222686432,192.4552254302416,289.11632501937714,42.031827811378,56.84970054602184,345.5533105525258,339.11490767690884,589.2596252709849,304.98583984375,54.24698238388257,171.87969970703125,87.6441025193091,440.36653602953305,138.67015019178407,143.43096923828125,699.3738540765971,459.7538759853218,455.80200515641116
2023-11-30T00:00:00Z Rel,54.22714443498195,850.3531494140625,306.3002469209389,191.28045258716296,727.9083251953125,65.92993249445053,180.4095847682602,2455.351806640625,34.923128868054526,324.98215255384093,468.88029258692626,149.89223826152318,24.21918296813965,133.31866249799728,87.76112365722656,247.20100209147827,23.484275817871094,207.89453234319333,114.62959391938308,"",379.8295739180952,61.32289414335177,387.6286017590982,"",488.8012398041618,1861.71875,81.85546632303134,208.09619730013392,288.4530881169989,42.18604519793284,54.13510501375905,354.07165320802613,338.7139540160142,600.8163924249011,235.09933471679688,54.63820052791528,176.70684814453125,88.51227649693132,441.1077952688719,142.58329056881095,140.67095947265625,706.9444281493292,458.3756658525821,452.77225965923657
2023-12-01T00:00:00Z Rel,57.292997768896576,828.3594360351562,305.4824704152566,187.58675142429487,700.30908203125,63.87067391009245,177.21584584880736,2374.43701171875,31.580386003973302,313.5723388530594,467.89434991836526,146.96063387102544,26.127853393554688,131.71920987667866,87.31742858886719,244.81260887163614,20.671022415161133,201.3706688084423,114.68223231191978,"",371.367641333474,62.02260678565061,381.04176900051226,"",463.06232729381975,1861.71875,81.99403164916563,199.52922519878103,305.8692943354,39.96594205779056,55.16375091729341,350.8877405496881,336.5355635077868,588.6765838460566,248.2746124267578,57.525840831796316,221.0377197265625,86.97008315841353,437.33248636422314,140.25820324094192,138.30873107910156,701.9513653303072,470.17586708987176,486.746533182638
