ts,Boiler B1 Power,Boiler B2 Power,Boiler B3 Power,Gasifier Steam Power,Cogen Steam Power,Cogen HW Power,AFS HW Power,Cogen Economizer Stage 1,Cogen Economizer Stage 2,Gasifier Economizer Stage 1,Gasifier Economizer Stage 2
2020-09-23T00:00:00-07:00 Los_Angeles,0.23166898277898632MW,6.604267496894356MW,0.3279571816572679MW,0.015334071164801975MW,0.623377062667364MW,0.12626596755141187MW,"","","","",""
2020-09-24T00:00:00-07:00 Los_Angeles,0MW,7.492500127404932MW,0MW,0.021943725871096834MW,0.6298704835908848MW,0.12214093135359387MW,"","","","",""
2020-09-25T00:00:00-07:00 Los_Angeles,0MW,4.364654008287905MW,2.226626200719599MW,0.046096089720147705MW,0.6094527192662021MW,0.12493492232169953MW,"","","","",""
2020-09-26T00:00:00-07:00 Los_Angeles,0MW,0.23602546687341397MW,6.475935277242852MW,0.02311281357833649MW,0.5577682084984502MW,0.1322576773373617MW,"","","","",""
2020-09-27T00:00:00-07:00 Los_Angeles,0MW,0.10000000149011612MW,6.494557970916783MW,0.018814510255635665MW,0.3905671997717933MW,0.11413566867338014MW,"","","","",""
2020-09-28T00:00:00-07:00 Los_Angeles,0MW,3.176834534230142MW,3.482406314714225MW,4.1020477086184403E-4MW,0.04901481088935489MW,-0.072463514820858MW,"","","","",""
2020-09-29T00:00:00-07:00 Los_Angeles,0MW,6.093904036512532MW,0MW,9.72461615068217E-4MW,0.0025225416356988713MW,-0.3076507256676754MW,"","","","",""
2020-09-30T00:00:00-07:00 Los_Angeles,0MW,2.448125034336829MW,2.22246529548084MW,0.0010556724315241204MW,0.009362160878094812MW,-0.037752196367623024MW,"","","","",""
2020-10-01T00:00:00-07:00 Los_Angeles,0MW,0.2810590308311361MW,5.121128560056286MW,7.203062263671976E-4MW,0.06679822044213019MW,0.12339887985841079MW,"","","","",""
2020-10-02T00:00:00-07:00 Los_Angeles,0MW,0.10000000149011612MW,4.674512807442633MW,5.013608802349795E-4MW,0.08674160062279711MW,0.11691663435884506MW,"","","","",""
