ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2022-08-10T00:00:00Z Rel,78.66750137011208kW,924.601806640625kW,372.0142281850178kW,257.41501718591735kW,798.7147216796875kW,22.151091674963638kW,249.34826175371805kW,2547.5908203125kW,15.986166869600616kW,304.17289996535703kW,277.60732507705694kW,125.77095993359885kW,120.86011505126953kW,134.0368282000224kW,93.42072296142578kW,254.7333606084188kW,12.629547119140625kW,191.70219548543295kW,129.0362518866858kW,"",377.44427411891803kW,47.30891924361388kW,292.1629527409871kW,"",672.6026838659359kW,"",48.39271525122503kW,109.09332186751897kW,328.7016398111979kW,39.734239896138504kW,78.1318566600482kW,396.44256195492204kW,343.05834372838336kW,639.0323486328125kW,229.84878540039062kW,73.05492530266443kW,237.8231964111328kW,57.46199889977776kW,430.0774497985838kW,162.33324027061468kW,91.26480102539062kW,388.8167394002279kW,377.265928586324kW,383.64232853871863kW
2022-08-11T00:00:00Z Rel,77.2871191104253kW,924.601806640625kW,370.490406036377kW,243.74613503491415kW,771.3895263671875kW,21.23258621493975kW,229.04555781682336kW,2547.5908203125kW,15.565329467256866kW,297.56592719643186kW,280.87981971104927kW,118.36871751149496kW,122.43722534179688kW,128.53042705853778kW,94.45206451416016kW,246.22129058837893kW,13.44331169128418kW,194.45647048950192kW,127.52729735339132kW,"",377.03195654551183kW,50.40236495565491kW,293.46290302276606kW,"",662.509969297338kW,"",52.99339483309676kW,106.48412098058952kW,328.92169888814294kW,38.930384814739234kW,74.46331878503163kW,386.7477933752981kW,350.6286147435505kW,639.0323486328125kW,254.7439422607422kW,71.41927500565849kW,237.42837524414062kW,58.96928946177165kW,428.14989376068115kW,161.2011924584707kW,88.99474334716797kW,396.6376072565716kW,378.478472073873kW,429.25533466886594kW
2022-08-12T00:00:00Z Rel,78.57240303357446kW,924.601806640625kW,361.96594746907545kW,256.22341865751486kW,748.368896484375kW,17.405947466691337kW,229.1466818650564kW,2547.5908203125kW,14.863029251495991kW,281.68945011933647kW,283.24811728795385kW,118.89921959241232kW,122.21595001220703kW,128.28548653920495kW,94.28898620605469kW,249.59986790021262kW,11.543062210083008kW,204.26028696695965kW,127.46016942686501kW,"",363.70286404397757kW,50.373169035889454kW,293.3302698135375kW,"",644.8485171310987kW,"",51.3533062425366kW,106.17586344930852kW,325.6343894004821kW,38.11332974831263kW,72.22606378793716kW,393.6666224410801kW,355.04862785339355kW,639.0323486328125kW,245.46665954589844kW,71.10913000504173kW,219.60421752929688kW,59.81826877593995kW,427.7318801879883kW,157.28060928980508kW,90.67609405517578kW,399.9520718256632kW,383.53268210093177kW,455.4242769439129kW
2022-08-13T00:00:00Z Rel,75.89054314295451kW,924.601806640625kW,339.3534104029337kW,179.6647996941319kW,597.64111328125kW,15.126194159189856kW,171.6195579369863kW,2547.5908203125kW,6.671910832325617kW,272.5872761724613kW,253.19312636057532kW,112.35463452339175kW,114.44080352783203kW,86.5113918781281kW,94.0123519897461kW,190.1800767580669kW,10.755464553833008kW,188.8375910123189kW,112.08027197078425kW,"",353.0904692561535kW,42.67804277221367kW,254.02002398173005kW,"",535.9953836236175kW,"",39.926713681574206kW,106.1585876577872kW,315.49427938461287kW,31.71313401063283kW,47.514210363229104kW,331.2124937661493kW,334.0774526596069kW,639.0323486328125kW,266.6341552734375kW,41.113419353961945kW,209.46595764160156kW,47.65065864721934kW,373.9674027760823kW,141.10859258969626kW,67.60832214355469kW,344.6888511975606kW,296.5768774350485kW,439.1198809784429kW
2022-08-14T00:00:00Z Rel,76.12487149238585kW,924.601806640625kW,333.2883326212566kW,154.63977533578844kW,621.992431640625kW,14.880507250626883kW,105.03378470738723kW,2547.5908203125kW,5.956731970111529kW,279.2896162070166kW,266.9682262738546kW,115.75863186518352kW,116.16390228271484kW,87.2613107363383kW,93.78919982910156kW,137.53885157903034kW,11.206080436706543kW,190.19657913843795kW,110.92407073630226kW,"",363.770250660578kW,41.738594197851675kW,258.59771029154456kW,"",492.28585022149235kW,"",40.23362304089246kW,108.55445447109376kW,312.88064734141017kW,32.54226636886596kW,66.86050963401792kW,323.5345976276749kW,339.9508867263793kW,639.0323486328125kW,232.40963745117188kW,41.38793146610259kW,193.58602905273438kW,49.91282896200818kW,390.6965786616009kW,145.86321194966638kW,61.64169692993164kW,349.34743213653576kW,301.09370803832996kW,463.4418787096165kW
2022-08-15T00:00:00Z Rel,77.35829877853392kW,924.601806640625kW,362.745937983195kW,257.68036603998263kW,766.5301513671875kW,17.432701319456104kW,244.8252425988515kW,2547.5908203125kW,14.78536392251651kW,303.60465795569945kW,289.2802759806315kW,118.2112449010213kW,125.51712799072266kW,133.79194045066833kW,93.0364990234375kW,257.5821479161581kW,11.252362251281738kW,222.7278985977173kW,129.5961623409057kW,"",365.9251611741382kW,49.15485785051624kW,300.30689239501953kW,"",658.350029089539kW,"",51.00416794997681kW,109.9960808601644kW,332.9563279151917kW,40.277676701545715kW,68.63120414813359kW,396.23559893042955kW,362.9710187911986kW,639.0323486328125kW,259.8701477050781kW,76.15459334850311kW,222.2969970703125kW,55.49556644757589kW,445.8995587031047kW,158.82956178983054kW,84.6776351928711kW,414.62942059834796kW,386.04012028376275kW,453.77783201818113kW
2022-08-16T00:00:00Z Rel,77.77091805140178kW,924.601806640625kW,381.74334748586006kW,250.3641283901531kW,790.3138427734375kW,17.3210804661115kW,248.04101785024005kW,2547.5908203125kW,15.438906570275623kW,309.6167905510793kW,296.147646745046kW,115.61198051770525kW,126.97676086425781kW,134.0721072355906kW,93.73114776611328kW,253.4622074762981kW,12.178193092346191kW,221.7131745020549kW,130.77257235262113kW,"",364.79613067379665kW,51.85650795576751kW,298.99835634231573kW,"",669.9716074290099kW,"",53.12948812846787kW,109.74470834422995kW,332.52888774871826kW,39.379798014958695kW,69.55836079517994kW,415.163134387687kW,368.5521456400552kW,639.0323486328125kW,229.84213256835938kW,72.62760653098425kW,173.56077575683594kW,54.742252151171364kW,442.166490872701kW,153.10148708025613kW,94.56364440917969kW,414.7276779810587kW,375.8752710024515kW,438.686929614632kW
2022-08-17T00:00:00Z Rel,78.48052994410197kW,924.601806640625kW,385.12065378824866kW,251.0420989918713kW,817.1640625kW,16.642062048117317kW,254.58696603775016kW,2547.5908203125kW,15.33659069240093kW,313.52081001016853kW,311.9122699101765kW,120.41365170478822kW,128.9846954345703kW,136.77374696731565kW,93.58474731445312kW,268.3121098677317kW,12.089402198791504kW,223.7481265068053kW,134.15238029983314kW,"",371.57637136777225kW,51.47490415071998kW,310.81698735555017kW,"",698.4655005900051kW,"",49.74418272861731kW,117.45362260085564kW,345.99573675791413kW,39.258450746536234kW,71.16383037964505kW,425.9577793285576kW,388.6847553253173kW,639.0323486328125kW,241.85618591308594kW,73.72010344266894kW,206.53997802734375kW,55.85251120726268kW,478.50345643361413kW,166.45373678207397kW,92.88372039794922kW,438.7343962987265kW,394.852733453115kW,437.2211682893608kW
2022-08-18T00:00:00Z Rel,78.55246543884284kW,924.601806640625kW,402.8925720850626kW,251.26809154157309kW,809.830810546875kW,16.593202084302902kW,249.22083409627282kW,2547.5908203125kW,16.132850011189777kW,321.7838451279534kW,321.36386807759607kW,124.88239153226215kW,129.20306396484375kW,135.56108498573306kW,93.6794662475586kW,273.6138820648194kW,20.947134017944336kW,228.64108530680343kW,130.91788453084456kW,"",383.5439784427924kW,50.07891089412904kW,331.978463490804kW,"",714.645009459742kW,"",50.046455362284675kW,122.05141563477339kW,355.357673327128kW,39.72693212827048kW,80.75133037567143kW,431.9545155179056kW,403.5147953033448kW,639.0323486328125kW,210.13369750976562kW,75.46412104368213kW,240.85443115234375kW,57.72568504015605kW,519.8247181574503kW,164.37705985705057kW,87.40630340576172kW,447.03725624084467kW,402.78466892242426kW,451.7737107985103kW
2022-08-19T00:00:00Z Rel,79.49599385261537kW,924.601806640625kW,407.03710714975983kW,262.43857330013196kW,801.4046630859375kW,17.707843661308292kW,239.855942885081kW,2547.5908203125kW,14.96479654808839kW,317.7940524971924kW,319.16524600982643kW,120.12845317522684kW,131.37489318847656kW,135.80963881810507kW,92.78897857666016kW,267.63144222895306kW,14.429351806640625kW,224.27331527074176kW,128.3438581169093kW,"",382.6584691503313kW,46.21673568668186kW,317.187475045522kW,"",703.575380287171kW,"",46.93061784936319kW,112.32051675518349kW,347.4924858411154kW,38.05711742242177kW,81.36848562955858kW,423.5130075202167kW,396.9502442677816kW,639.0323486328125kW,237.05844116210938kW,73.53432534138364kW,242.91505432128906kW,57.37974305947621kW,479.87457656860346kW,165.82163580258688kW,87.64896392822266kW,457.29565556844074kW,396.51199245452887kW,448.5971332585372kW
2022-08-20T00:00:00Z Rel,75.57903130849202kW,924.601806640625kW,380.69104131062835kW,148.93562342334698kW,625.860107421875kW,12.289674520492552kW,129.32266497612kW,2547.5908203125kW,6.1747325013081245kW,304.39899078263187kW,296.3077260653178kW,125.90010515848795kW,117.40946197509766kW,89.0908894538879kW,92.01837921142578kW,205.18550952275595kW,14.739412307739258kW,207.27857383092237kW,113.31048755884164kW,"",351.8874856892336kW,34.40197952191037kW,272.4314581553142kW,"",588.258048442558kW,"",37.69942160220058kW,110.06006163508788kW,331.34371852874756kW,34.30400500694909kW,59.49635086456935kW,361.0079484490994kW,371.584572474162kW,639.0323486328125kW,208.92250061035156kW,39.923693041006736kW,230.76971435546875kW,46.17581903934478kW,328.38718191782635kW,156.27511119842532kW,61.95857238769531kW,379.6522858937581kW,295.8232800165812kW,405.06988470889917kW
2022-08-21T00:00:00Z Rel,76.14565420150761kW,924.601806640625kW,373.6840537389119kW,161.44456220909413kW,618.2569580078125kW,12.75002813339234kW,103.36729900042216kW,2547.5908203125kW,6.4431818922360735kW,302.5045304882967kW,290.7239754994711kW,125.3717389901479kW,115.78751373291016kW,90.98401896158853kW,94.23126220703125kW,145.72326215108234kW,15.383127212524414kW,206.10687653223673kW,112.13213429168408kW,"",352.6659068782237kW,34.949589029859624kW,264.1723577181498kW,"",539.3804823511613kW,"",37.54911250650883kW,108.46348613165036kW,317.8420367240906kW,34.51551310221355kW,57.65346078077954kW,344.29556522863925kW,362.434371948242kW,639.0323486328125kW,228.5214385986328kW,38.8537189165751kW,218.8240509033203kW,49.53711811701455kW,329.52404276529955kW,151.52223912874854kW,60.61539077758789kW,374.623264948527kW,284.95615339279175kW,396.0702463757553kW
2022-08-22T00:00:00Z Rel,79.28654813766482kW,924.601806640625kW,381.2667462031047kW,254.71471979671057kW,783.2943115234375kW,16.097984820604324kW,254.30027405420944kW,2547.5908203125kW,14.170245110988615kW,310.12908682085873kW,292.1756820678712kW,134.49941205978396kW,127.1717300415039kW,139.55608677864075kW,93.19102478027344kW,265.71847931543977kW,15.750335693359375kW,221.07145786285403kW,127.2334794179598kW,"",400.0019304201334kW,42.47386977515841kW,306.4575157165527kW,"",700.3930340763367kW,"",46.81800199186359kW,109.97659027549962kW,339.72399775187165kW,42.45288594563802kW,76.72377228736876kW,421.72775159782833kW,380.87989997863764kW,639.0323486328125kW,213.4227294921875kW,73.46400779485703kW,218.09283447265625kW,60.279781977335624kW,358.7150373458863kW,165.51264993349707kW,87.83726501464844kW,468.31791845957457kW,376.05959192911786kW,397.2579050878241kW
2022-08-23T00:00:00Z Rel,79.6326028505961kW,924.601806640625kW,369.62627442677814kW,227.02891722529023kW,793.5634765625kW,15.753747781117754kW,249.31191182136538kW,2547.5908203125kW,14.90776419639587kW,308.1987260159743kW,284.8939361572265kW,127.1215877532959kW,125.2838363647461kW,134.11675564448043kW,94.0414047241211kW,239.98980847994486kW,20.786230087280273kW,202.213702360789kW,131.06268245741174kW,"",425.1125988829574kW,42.056644884811426kW,296.3540218671164kW,"",688.0718341286994kW,"",50.25782396104602kW,109.3167132284024kW,335.01648537317914kW,39.50710781415304kW,79.41991357008617kW,409.8218736298877kW,374.7799123128254kW,639.0323486328125kW,284.1239013671875kW,77.52444491783778kW,196.8601837158203kW,63.85616052150728kW,350.9060866038005kW,165.12385996182752kW,92.51687622070312kW,416.58150323232036kW,368.61959886550886kW,389.99150471175153kW
2022-08-24T00:00:00Z Rel,78.4530492623647kW,924.601806640625kW,395.35137557983387kW,242.50447035012422kW,803.8804931640625kW,16.504702627658844kW,259.20772926012677kW,2547.5908203125kW,15.146459087729458kW,322.2623825196864kW,298.62172730763746kW,131.11895163853964kW,125.8487548828125kW,140.22370092074075kW,94.49720001220703kW,271.11683893203735kW,20.538957595825195kW,217.92137130101523kW,131.45628946277841kW,"",387.72330033690844kW,43.08844536253703kW,315.8980021476744kW,"",738.9515381315025kW,"",51.38508612959475kW,113.23455393967826kW,359.04161453247076kW,40.06639150778453kW,82.9896011948586kW,417.4261632686186kW,393.9809103012084kW,639.0323486328125kW,214.0745086669922kW,78.6420882344246kW,188.57589721679688kW,58.046634157498694kW,363.7915884653726kW,173.29152035713196kW,89.12763214111328kW,486.6714131037393kW,368.0607088406881kW,398.60069707923503kW
2022-08-25T00:00:00Z Rel,78.16098960240677kW,924.601806640625kW,423.37883567810053kW,260.21366248784227kW,810.1217041015625kW,17.73503667116165kW,254.38294577598566kW,2547.5908203125kW,14.069671372572579kW,321.0552263058557kW,292.1943534215291kW,130.9648667971294kW,129.63157653808594kW,137.42994197209677kW,93.55762481689453kW,264.26337464650476kW,21.137367248535156kW,219.22903871536258kW,128.24815248577673kW,"",362.4171201614099kW,43.7978571518262kW,317.77666521072393kW,"",731.049854749044kW,"",47.74742344326439kW,112.33512052200463kW,348.88161293665553kW,39.376919964949295kW,82.62968923648194kW,434.44583235634764kW,402.0243024826049kW,639.0323486328125kW,210.53440856933594kW,78.72279574473698kW,258.29766845703125kW,59.255302548408494kW,424.199686686198kW,175.44042038917536kW,88.9437484741211kW,500.6598507563273kW,407.0200262069703kW,444.28706599994996kW
2022-08-26T00:00:00Z Rel,78.054905017217kW,924.601806640625kW,343.11310164133715kW,255.0099098740685kW,736.2264404296875kW,16.83428078889848kW,208.60304617881778kW,2547.5908203125kW,14.084018995364506kW,287.5981285146432kW,236.92707872390753kW,125.14191349347432kW,122.12265014648438kW,130.02588804562888kW,94.75337219238281kW,233.63870477676397kW,21.36106300354004kW,192.2946912447611kW,125.10326933357433kW,"",350.21661805435474kW,42.0135160811301kW,275.0535298983256kW,"",636.0949594967452kW,"",46.92729409420932kW,104.95067076709546kW,308.5131589571635kW,38.72102109591167kW,66.4243636528651kW,392.26902263817976kW,345.6397898991903kW,639.0323486328125kW,246.767333984375kW,70.52662144104637kW,226.05572509765625kW,62.19778394699097kW,467.2774085998536kW,145.7948371569315kW,88.11061096191406kW,432.5810283025106kW,341.2940154075623kW,431.06707391544603kW
2022-08-27T00:00:00Z Rel,76.68372782071434kW,924.601806640625kW,316.9347502390544kW,143.52411047211405kW,611.7819213867188kW,13.360861321290331kW,116.05283204714458kW,2547.5908203125kW,6.842182621359831kW,286.05414943359494kW,231.91229550043744kW,122.20937045415239kW,112.9656753540039kW,87.69251418113706kW,94.7210464477539kW,179.91257985432944kW,17.098329544067383kW,169.05471499760938kW,100.23683372656507kW,"",326.06551264939463kW,33.496864212685146kW,253.76646280288702kW,"",520.0515666068043kW,"",38.74532827675338kW,104.83983742855206kW,299.2963070869445kW,30.986260155836746kW,52.25454956293104kW,299.10378359459065kW,332.91371027628577kW,639.0323486328125kW,221.80470275878906kW,38.8378483057022kW,205.23147583007812kW,52.75565290451048kW,441.5268173217771kW,140.26627826690674kW,63.046730041503906kW,423.9269507726033kW,280.1707660357157kW,396.6565696965321kW
2022-08-28T00:00:00Z Rel,76.42292443911235kW,924.601806640625kW,329.35412359237677kW,147.2156775046277kW,589.5757446289062kW,13.803229779005049kW,105.76265263557434kW,2547.5908203125kW,5.921215618650116kW,288.21613985096945kW,245.87997372945162kW,122.41731190681459kW,113.4814682006836kW,88.49487264951068kW,94.1409912109375kW,135.89363265037542kW,18.690317153930664kW,169.65438334147137kW,107.13820939743958kW,"",327.6634195380739kW,34.30787055532139kW,256.07324123382557kW,"",446.4972178868892kW,"",37.37894878047484kW,102.74743535059467kW,297.33328946431476kW,33.0005528529485kW,57.67269702752432kW,291.71213653158236kW,345.622670173645kW,639.0323486328125kW,230.91831970214844kW,38.24240297079086kW,159.39529418945312kW,54.76703333854675kW,440.6949354807536kW,142.35855579376215kW,65.98597717285156kW,446.0693267186485kW,282.02547168731684kW,406.7701881244446kW
2022-08-29T00:00:00Z Rel,78.83675742149353kW,924.601806640625kW,361.7873369852702kW,247.67058144004218kW,826.4823608398438kW,16.337925980488457kW,235.1484242280325kW,2547.5908203125kW,14.895419880747793kW,286.30063925160295kW,253.41594473520922kW,126.3930593331655kW,129.249267578125kW,130.93864750862122kW,93.44377136230469kW,258.51519378026325kW,21.151981353759766kW,195.52577368418366kW,125.71669069555081kW,"",387.9832103019291kW,43.91984965081566kW,297.2240826288859kW,"",593.6649220003902kW,"",46.53488107367798kW,107.33640085538237kW,326.02430868148804kW,41.990533590316765kW,77.19939623276397kW,389.0220079706333kW,362.37176163991285kW,639.0323486328125kW,232.35279846191406kW,72.59111817677815kW,203.3368377685547kW,60.48553927739461kW,477.67028776804625kW,162.85007699330646kW,85.96732330322266kW,518.357378323873kW,365.1953088442484kW,415.0791180836713kW
2022-08-30T00:00:00Z Rel,77.68618281682332kW,924.601806640625kW,410.8428640365601kW,253.62993741476967kW,788.079833984375kW,16.99980246027311kW,247.14539567629498kW,2547.5908203125kW,14.981347039341928kW,308.6584026248369kW,283.3924018541972kW,126.33313965797417kW,127.7606201171875kW,133.6164552370707kW,93.52162170410156kW,266.77722454071045kW,20.538421630859375kW,212.6081116994223kW,128.00742783034286kW,"",394.4105851826845kW,46.6245889649126kW,324.50389846165984kW,"",640.8551973989273kW,"",47.558263498014924kW,108.621660879453kW,341.69425034240425kW,39.55418584744136kW,85.42653872569402kW,397.76167764999246kW,390.6036421457927kW,639.0323486328125kW,213.33856201171875kW,73.20790837208426kW,213.20896911621094kW,63.67600234349572kW,493.8012498219808kW,169.32330075899762kW,90.85114288330078kW,549.4953940709432kW,389.342147986094kW,401.91310389766kW
2022-08-31T00:00:00Z Rel,78.43255790074664kW,924.601806640625kW,409.0402313868204kW,253.2926996743237kW,813.3568115234375kW,17.10805743932724kW,247.35991287231437kW,2547.5908203125kW,15.256168728073439kW,310.24565963533223kW,296.8643779754638kW,129.31551043192547kW,129.53872680664062kW,137.282070239385kW,93.65541076660156kW,280.15545050303143kW,18.879005432128906kW,224.9728592236836kW,127.88477966290928kW,"",388.11797956113475kW,43.821554067068675kW,327.4053575197856kW,"",665.9915962219239kW,"",48.02850012108135kW,113.63628932228804kW,346.54548241014874kW,39.31145385901134kW,90.80692231655124kW,417.3773123292563kW,394.45650609334314kW,639.0323486328125kW,208.1436004638672kW,74.51780613263443kW,227.2520294189453kW,60.82871397336323kW,494.9089040756227kW,171.1424042383829kW,91.19554901123047kW,564.8725226720173kW,397.2688050270078kW,413.86198711218634kW
2022-09-01T00:00:00Z Rel,78.72672613461812kW,924.601806640625kW,393.8904377619426kW,252.7641615461418kW,798.38525390625kW,19.36325249075888kW,258.27060945828754kW,2547.5908203125kW,14.263249749938646kW,305.1473134028471kW,275.96074469884235kW,127.89383721351626kW,125.29612731933594kW,134.61215655008954kW,94.90396881103516kW,262.15978638331086kW,17.911563873291016kW,226.48964532216382kW,124.38564975252852kW,"",395.63883720221344kW,44.46321389809804kW,312.6074282328288kW,"",666.9717082977294kW,"",47.09045048362678kW,111.02766971967841kW,333.0626360780221kW,39.32304628690083kW,80.02957765261331kW,434.27023916915573kW,366.29730447133386kW,639.0323486328125kW,236.61041259765625kW,74.24546233812964kW,226.01988220214844kW,60.115882833798736kW,464.113955815633kW,165.5990433692932kW,96.78250885009766kW,535.0097627639773kW,360.81870269775374kW,422.4698630589022kW
2022-09-02T00:00:00Z Rel,79.98326357205708kW,924.601806640625kW,381.52472225824994kW,247.8816864841073kW,802.6064453125kW,16.771822263797127kW,257.71142903963727kW,2547.5908203125kW,14.348700935641924kW,299.66383468928143kW,282.2288522720336kW,130.62135155995685kW,113.40733337402344kW,132.78578368822727kW,92.53675079345703kW,258.0395232836405kW,17.307050704956055kW,226.96994241078704kW,125.06063633009242kW,"",395.72291916564626kW,41.385096384617974kW,314.79885768890375kW,"",480.9383659362793kW,"",44.42413821264549kW,111.1469299687281kW,333.4012321581664kW,37.31510821978251kW,78.839711368084kW,418.5013215340511kW,365.4331738154093kW,639.0323486328125kW,214.6495819091797kW,74.08069805304207kW,200.76211547851562kW,58.33961900075276kW,459.86870956420887kW,166.20247705777484kW,95.22148132324219kW,515.8589604695637kW,364.0151804288227kW,418.57602821191176kW
2022-09-03T00:00:00Z Rel,80.76471471786498kW,924.601806640625kW,324.3538420995076kW,138.53753207957314kW,595.6112060546875kW,13.381669421990711kW,183.76195661226907kW,2547.5908203125kW,5.30419184267521kW,273.6959859968113kW,251.32285197575885kW,123.09225384394325kW,"",88.36360836029051kW,92.04052734375kW,186.61262130737302kW,8.109715461730957kW,198.99461444218957kW,109.35634728696608kW,"",363.9292567708759kW,34.972002680632805kW,304.6365143458049kW,"",479.57952880859375kW,"",36.65513288226393kW,105.73109952873659kW,303.71717874438684kW,30.978910605112706kW,55.169450183709465kW,350.6996447238212kW,343.81128883361805kW,639.0323486328125kW,260.6415100097656kW,39.2694991628329kW,187.8441925048828kW,49.661454359690346kW,421.20846462249756kW,145.6131973266602kW,63.21699523925781kW,432.0616273880006kW,292.71079826354986kW,401.82933596098883kW
2022-09-04T00:00:00Z Rel,79.65900746981306kW,924.601806640625kW,329.18048159281415kW,146.70350904058492kW,579.5309448242188kW,13.3665481309096kW,182.46188902854917kW,2547.5908203125kW,5.253159885605175kW,289.8233733731728kW,234.96745602289832kW,120.02751644452415kW,"",88.68804510434468kW,94.78341674804688kW,141.76633485158285kW,10.391680717468262kW,194.65939728418985kW,108.60989785936141kW,"",360.21502811361256kW,33.874162624522505kW,279.1531159083049kW,"",479.57952880859375kW,"",36.49184683835066kW,110.48179179959814kW,295.6281638666434kW,32.34600426753362kW,48.87702526648839kW,292.847362580829kW,333.0261863072714kW,639.0323486328125kW,238.85189819335938kW,40.00451642274855kW,217.3311767578125kW,55.08864903450012kW,417.0437231063843kW,138.949319044749kW,65.338134765625kW,436.68040498097724kW,290.77968374888104kW,380.84385346324325kW
2022-09-05T00:00:00Z Rel,78.95322791735333kW,924.601806640625kW,317.02983840306615kW,155.28948509101514kW,590.5980224609375kW,15.564896742502848kW,98.13108102480574kW,2547.5908203125kW,11.813965529203418kW,266.80662991576713kW,236.04451894760132kW,123.92384608586629kW,112.2448501586914kW,92.33630967140195kW,90.0628662109375kW,144.02649164199835kW,23.022300720214844kW,203.17076714833578kW,110.44396631143715kW,"",464.96202371773876kW,28.83913749323952kW,264.64596366882336kW,"",479.57952880859375kW,"",37.02950448645483kW,114.98357104407418kW,288.6609250448367kW,34.73416113853454kW,51.38845968246461kW,261.0051408274968kW,329.3644138971966kW,639.0323486328125kW,260.7973327636719kW,37.94817729791006kW,61.75858688354492kW,55.649348258972154kW,416.53645261128753kW,133.25738581021628kW,66.48153686523438kW,442.27092774709087kW,357.00596268971765kW,348.17661268251936kW
2022-09-06T00:00:00Z Rel,80.40310335159297kW,924.601806640625kW,332.6962469418844kW,249.4810573856036kW,774.71435546875kW,18.296826352675758kW,198.668863217036kW,2547.5908203125kW,17.040336713194847kW,297.83264761695153kW,242.44129308064777kW,125.09166010220846kW,122.11307525634766kW,135.37328831354773kW,93.7087173461914kW,244.06812047958374kW,21.974401473999023kW,217.47840102513638kW,122.18042953252814kW,"",485.86275410581607kW,44.14215486745034kW,292.5002544720968kW,"",479.57952880859375kW,"",46.80964800141479kW,109.65455443020204kW,308.64452738497kW,42.14657433827718kW,67.55933636426924kW,379.95511713928624kW,341.6700620651244kW,639.0323486328125kW,233.29574584960938kW,72.9678534070651kW,223.9427490234375kW,65.18101998170218kW,438.0541060765584kW,149.87710046768188kW,115.05491638183594kW,530.291782697042kW,366.4321441650391kW,395.391091231064kW
2022-09-07T00:00:00Z Rel,76.64466218153635kW,924.601806640625kW,326.02870623270667kW,215.9670068482117kW,775.4332275390625kW,20.778248101472855kW,220.8421727021535kW,2547.5908203125kW,17.71080192923546kW,286.7970255427008kW,243.74231433868405kW,127.52125541369122kW,122.92406463623047kW,134.2339502970378kW,92.31478881835938kW,232.10918283462527kW,19.40670394897461kW,195.42233928044635kW,122.89605339187158kW,"",393.42400984057684kW,42.439095228336484kW,292.73700173695875kW,"",479.57952880859375kW,"",50.293379035040175kW,113.0388580957165kW,306.61481586014776kW,41.86058404048284kW,68.11100365718205kW,381.84800736462665kW,333.18247604370123kW,639.0323486328125kW,279.8570251464844kW,74.28228696187337kW,239.45179748535156kW,68.85216005643207kW,437.20449312527984kW,147.91831350326538kW,107.67706298828125kW,530.6414531071981kW,333.5211011568705kW,431.3379341847803kW
2022-09-08T00:00:00Z Rel,72.56668559710185kW,924.601806640625kW,310.17504167556757kW,216.31160400417102kW,751.760009765625kW,20.56784917910893kW,214.30010930697122kW,2547.5908203125kW,17.25165419777234kW,268.8075445493061kW,216.11380052566528kW,125.79216972986859kW,107.2000732421875kW,128.1302374998728kW,92.83140563964844kW,221.0200284322102kW,22.227699279785156kW,193.10151211420694kW,121.37089603062014kW,"",361.2454720875068kW,43.37346719024359kW,289.0201139450072kW,"",479.57952880859375kW,"",51.90729863985826kW,110.49885183917152kW,298.0824272295285kW,42.18566519021989kW,75.72369670867919kW,386.2583790874482kW,326.46172110239667kW,639.0323486328125kW,247.63963317871094kW,73.39276619752248kW,203.69174194335938kW,65.8017733494441kW,417.7364164988198kW,144.2841031551361kW,107.59558868408203kW,508.2909536361694kW,324.0347820917766kW,422.4041587677711kW
2022-09-09T00:00:00Z Rel,72.68692636489868kW,924.601806640625kW,315.73146486282354kW,210.70983786476972kW,768.1907958984375kW,20.915733685096097kW,204.91642816861466kW,2547.5908203125kW,17.440820460518196kW,284.6005551020304kW,230.44385480880737kW,125.06459760665891kW,104.61661529541016kW,130.06740220387783kW,93.21900939941406kW,227.0165830453236kW,17.632787704467773kW,206.03831720352164kW,119.1765947457595kW,"",369.1930313445901kW,42.009747031640146kW,295.39874823888135kW,"",479.57952880859375kW,"",55.060595270218606kW,111.57835702030748kW,302.89946143909714kW,42.78992235660553kW,69.89587549368541kW,381.9251514708556kW,340.9541823069253kW,639.0323486328125kW,227.87037658691406kW,71.35418554147081kW,230.65536499023438kW,65.56643172105152kW,445.2583754857381kW,142.11445832252505kW,109.16387176513672kW,568.9254827499391kW,328.58263476689655kW,422.1438189453549kW
